account_id,cust_id,bank_id,branch_id,acc_no,balance,account_type,dob,created_at
1,100,1,1,ACC1000,7206.0,SAVINGS,2001-05-20,2026-04-26 18:09:36
2,101,2,2,ACC1001,11392.0,SAVINGS,1995-09-09,2026-04-26 18:09:36
3,102,1,1,ACC1002,12823.0,SAVINGS,1983-08-19,2026-04-26 18:09:36
4,103,2,2,ACC1003,9397.0,CURRENT,1997-06-27,2026-04-26 18:09:36
5,104,1,1,ACC1004,16325.0,CURRENT,1996-04-12,2026-04-26 18:09:36
6,105,1,1,ACC1005,5766.0,CURRENT,1981-12-25,2026-04-26 18:09:36
7,106,1,1,ACC1006,11893.0,SAVINGS,1988-01-13,2026-04-26 18:09:36
8,107,2,2,ACC1007,10538.0,CURRENT,2004-07-25,2026-04-26 18:09:36
9,108,2,2,ACC1008,8936.0,CURRENT,1978-05-24,2026-04-26 18:09:36
10,109,2,2,ACC1009,6687.0,SAVINGS,1981-07-17,2026-04-26 18:09:36
11,110,1,1,ACC1010,12126.0,CURRENT,1999-12-26,2026-04-26 18:09:36
12,111,1,1,ACC1011,9660.0,SAVINGS,1991-01-13,2026-04-26 18:09:36
13,112,1,1,ACC1012,9758.0,CURRENT,1983-03-11,2026-04-26 18:09:36
14,113,2,2,ACC1013,16130.0,SAVINGS,2006-06-27,2026-04-26 18:09:36
15,114,2,2,ACC1014,12374.0,CURRENT,2007-07-29,2026-04-26 18:09:36
16,115,1,1,ACC1015,7183.0,SAVINGS,1979-10-23,2026-04-26 18:09:36
17,116,1,1,ACC1016,17516.0,SAVINGS,1994-09-02,2026-04-26 18:09:36
18,117,1,1,ACC1017,19615.0,CURRENT,1986-10-15,2026-04-26 18:09:36
19,118,1,1,ACC1018,9093.0,SAVINGS,2000-07-18,2026-04-26 18:09:36
20,119,2,2,ACC1019,19499.0,SAVINGS,1993-08-13,2026-04-26 18:09:36
